agent_id,queue_id,week_day,hour,minute,timestamp,handling_time
1580,istigers,1,21,58,1682373534,46
1137,isjaguars,1,21,59,1682373560,6
1564,istigers,1,21,59,1682373593,1
1139,istigers,1,22,00,1682373630,18
1564,istigers,1,22,00,1682373635,1
1522,isnxsell,1,22,00,1682373659,8
1139,istigers,1,22,01,1682373677,77
1117,isnxsell,1,22,01,1682373679,1
1522,isnxsell,1,22,01,1682373699,3
1585,isessentials,1,22,01,1682373717,98
1582,isnxsell,1,22,02,1682373723,540
1564,istigers,1,22,02,1682373739,2
1128,isfoxes,1,22,02,1682373755,280
1522,isnxsell,1,22,02,1682373777,676
1572,isnxsell,1,22,03,1682373788,3
1572,isnxsell,1,22,03,1682373831,1
1528,mgmsales,1,22,04,1682373855,68
1572,isnxsell,1,22,04,1682373873,1
1576,iseagles,1,22,05,1682373948,1
1523,isdragons,1,22,06,1682373973,70
1541,ishorus,1,22,06,1682373986,1
1541,ishorus,1,22,07,1682374038,1
1127,isessentials,1,22,08,1682374139,1222
1572,isnxsell,1,22,09,1682374192,273
1535,isfoxes,1,22,10,1682374202,5
1583,isdragons,1,22,10,1682374235,37
1554,iswolves,1,22,10,1682374246,862
1541,ishorus,1,22,11,1682374304,131
1128,isfoxes,1,22,12,1682374361,799
1126,isdragons,1,22,13,1682374407,48
1574,isdragons,1,22,14,1682374440,3
1582,isnxsell,1,22,14,1682374444,465
1528,mgmsales,1,22,14,1682374488,1
1580,istigers,1,22,14,1682374493,1
1560,iswolves,1,22,14,1682374498,1
1528,mgmsales,1,22,15,1682374544,2
1572,isnxsell,1,22,16,1682374591,2
1522,isnxsell,1,22,17,1682374631,689
1572,isnxsell,1,22,17,1682374632,1
1572,isnxsell,1,22,17,1682374671,881
1528,mgmsales,1,22,18,1682374733,2
1574,isdragons,1,22,19,1682374799,1
1528,mgmsales,1,22,20,1682374835,96
1560,iswolves,1,22,22,1682374935,1
1580,istigers,1,22,22,1682374950,1
1525,isjaguars,1,22,22,1682374969,172
1560,iswolves,1,22,22,1682374978,1
1535,isfoxes,1,22,23,1682374984,51
1574,isdragons,1,22,23,1682375000,3
1560,iswolves,1,22,23,1682375020,2
1542,isnxsell,1,22,24,1682375076,2
1542,isnxsell,1,22,26,1682375168,1
1542,isnxsell,1,22,27,1682375224,40
1128,isfoxes,1,22,29,1682375353,803
1542,isnxsell,1,22,31,1682375480,25
1542,isnxsell,1,22,32,1682375544,17
1528,mgmsales,1,22,33,1682375592,12
1563,isnxsell,1,22,33,1682375601,52
1528,mgmsales,1,22,33,1682375626,1
1522,isnxsell,1,22,33,1682375636,19
1117,isnxsell,1,22,34,1682375657,41
1588,mgmsales,1,22,34,1682375664,1244
1580,istigers,1,22,34,1682375664,1
1522,isnxsell,1,22,34,1682375687,193
1563,isnxsell,1,22,35,1682375744,2
1542,isnxsell,1,22,36,1682375775,10
1528,mgmsales,1,22,36,1682375779,4
1563,isnxsell,1,22,37,1682375843,4
1528,mgmsales,1,22,37,1682375865,4
1542,isnxsell,1,22,37,1682375869,8
1582,isnxsell,1,22,38,1682375892,255
1522,isnxsell,1,22,39,1682375947,234
1563,isnxsell,1,22,39,1682375957,17
1528,mgmsales,1,22,39,1682375989,1
1563,isnxsell,1,22,39,1682375994,86
1574,isdragons,1,22,40,1682376006,18
1528,mgmsales,1,22,40,1682376012,1
1574,isdragons,1,22,40,1682376043,2
1559,isfoxes,1,22,40,1682376044,116
1542,isnxsell,1,22,40,1682376045,9
1574,isdragons,1,22,41,1682376090,9
1542,isnxsell,1,22,41,1682376104,18
1528,mgmsales,1,22,43,1682376193,65
1128,isfoxes,1,22,45,1682376322,331
1559,isfoxes,1,22,45,1682376342,132
1522,isnxsell,1,22,46,1682376395,63
1117,isnxsell,1,22,47,1682376422,296
1563,isnxsell,1,22,47,1682376477,26
1528,mgmsales,1,22,49,1682376592,1
1522,isnxsell,1,22,50,1682376658,810
1572,isnxsell,1,22,51,1682376660,605
1117,isnxsell,1,22,54,1682376866,665
1580,istigers,1,22,57,1682377032,1
1588,mgmsales,1,22,57,1682377041,738
1596,mgmsales,1,23,03,1682377384,48
1533,isjaguars,1,23,06,1682377561,186
1597,mgmsales,1,23,08,1682377732,1
1583,isdragons,1,23,10,1682377810,3
1583,isdragons,1,23,10,1682377824,17
1140,istigers,1,23,27,1682378863,1
1596,mgmsales,2,00,16,1682381789,1361
1504,isphoenix,2,12,46,1682426798,9
1504,isphoenix,2,12,47,1682426840,9
1504,isphoenix,2,12,51,1682427087,2
1504,isphoenix,2,12,58,1682427504,9
1504,isphoenix,2,13,05,1682427925,16
1517,mgmsdr,2,13,12,1682428368,7
1586,mgmsdr,2,13,19,1682428772,47
1640,timec,2,13,22,1682428937,1
1597,mgmsales,2,13,24,1682429045,1
1640,timec,2,13,24,1682429087,1
1504,isphoenix,2,13,25,1682429123,12
1597,mgmsales,2,13,26,1682429181,21
1597,mgmsales,2,13,28,1682429298,2
1597,mgmsales,2,13,29,1682429340,1
1567,mgmsdr,2,13,31,1682429480,96
1504,isphoenix,2,13,31,1682429507,9
1597,mgmsales,2,13,33,1682429584,2
1593,mgmsdr,2,13,34,1682429680,2
1593,mgmsdr,2,13,34,1682429694,4
1567,mgmsdr,2,13,35,1682429729,1
1593,mgmsdr,2,13,36,1682429778,2
1567,mgmsdr,2,13,36,1682429802,6
1593,mgmsdr,2,13,36,1682429818,2
1635,isnrecuperacao,2,13,38,1682429882,1969
1504,isphoenix,2,13,38,1682429933,7
1504,isphoenix,2,13,39,1682429990,18
1597,mgmsales,2,13,41,1682430098,73
1600,mgmsales,2,13,42,1682430129,8
1593,mgmsdr,2,13,43,1682430232,1
1593,mgmsdr,2,13,44,1682430254,261
1517,mgmsdr,2,13,44,1682430299,2
1600,mgmsales,2,13,45,1682430301,34
1597,mgmsales,2,13,45,1682430304,22
1517,mgmsdr,2,13,46,1682430414,2
1586,mgmsdr,2,13,47,1682430447,9
1504,isphoenix,2,13,47,1682430451,2279
1597,mgmsales,2,13,47,1682430471,134
1582,isnxsell,2,13,49,1682430549,644
1128,isfoxes,2,13,49,1682430575,3
1569,isphoenix,2,13,49,1682430576,8
1128,isfoxes,2,13,53,1682430786,50
1523,isdragons,2,13,53,1682430835,49
1586,mgmsdr,2,13,56,1682431013,451
1596,mgmsales,2,13,58,1682431135,1
1629,isnnadal,2,13,59,1682431185,43
1567,mgmsdr,2,14,00,1682431239,37
1629,isnnadal,2,14,00,1682431259,97
1600,mgmsales,2,14,02,1682431334,4
1530,isdragons,2,14,02,1682431360,330
1600,mgmsales,2,14,02,1682431379,9
1593,mgmsdr,2,14,06,1682431567,12
1593,mgmsdr,2,14,06,1682431590,13
1128,isfoxes,2,14,06,1682431597,16
1629,isnnadal,2,14,06,1682431602,3
1629,isnnadal,2,14,07,1682431632,13
1567,mgmsdr,2,14,07,1682431677,82
1511,isphoenix,2,14,09,1682431782,54
1567,mgmsdr,2,14,09,1682431797,1
1600,mgmsales,2,14,10,1682431801,17
1597,mgmsales,2,14,11,1682431870,1
1596,mgmsales,2,14,11,1682431870,227
1517,mgmsdr,2,14,11,1682431871,53
1600,mgmsales,2,14,11,1682431876,10
1597,mgmsales,2,14,11,1682431917,1
1511,isphoenix,2,14,12,1682431936,7
1600,mgmsales,2,14,13,1682432004,7
1511,isphoenix,2,14,13,1682432009,1419
1600,mgmsales,2,14,14,1682432053,1
1549,isphoenix,2,14,15,1682432114,1951
1600,mgmsales,2,14,15,1682432136,4
1517,mgmsdr,2,14,15,1682432136,2
1541,ishorus,2,14,16,1682432205,2
1590,mgmsales,2,14,17,1682432262,1135
1137,isjaguars,2,14,18,1682432284,37
1600,mgmsales,2,14,18,1682432325,20
1569,isphoenix,2,14,20,1682432420,3
1569,isphoenix,2,14,21,1682432485,46
1517,mgmsdr,2,14,21,1682432492,3
1533,isjaguars,2,14,22,1682432528,361
1541,ishorus,2,14,22,1682432533,30
1569,isphoenix,2,14,25,1682432715,111
1504,isphoenix,2,14,26,1682432782,7
1504,isphoenix,2,14,26,1682432804,43
1600,mgmsales,2,14,27,1682432878,618
1519,iseagles,2,14,28,1682432890,3
1504,isphoenix,2,14,28,1682432901,2
1128,isfoxes,2,14,28,1682432915,1
1627,isnrecuperacao,2,14,29,1682432965,13
1541,ishorus,2,14,29,1682432994,2
1519,iseagles,2,14,30,1682433008,27
1504,isphoenix,2,14,30,1682433059,6
1504,isphoenix,2,14,31,1682433084,1
1519,iseagles,2,14,31,1682433088,4
1596,mgmsales,2,14,31,1682433090,2
1118,ishorus,2,14,32,1682433142,47
1569,isphoenix,2,14,34,1682433273,63
1597,mgmsales,2,14,34,1682433286,12
1559,isfoxes,2,14,34,1682433286,1
1604,mgmsales,2,14,35,1682433353,6
1604,mgmsales,2,14,36,1682433367,6
1586,mgmsdr,2,14,37,1682433457,6
1519,iseagles,2,14,38,1682433502,8
1541,ishorus,2,14,38,1682433514,43
1586,mgmsdr,2,14,39,1682433554,2
1593,mgmsdr,2,14,39,1682433595,5
1519,iseagles,2,14,40,1682433609,5
1600,mgmsales,2,14,41,1682433688,1
1567,mgmsdr,2,14,41,1682433692,37
1600,mgmsales,2,14,41,1682433712,15
1551,mgmsales,2,14,42,1682433766,689
1567,mgmsdr,2,14,42,1682433772,38
1569,isphoenix,2,14,43,1682433834,1467
1567,mgmsdr,2,14,44,1682433870,45
1130,isessentials,2,14,45,1682433951,4
1534,iseagles,2,14,45,1682433953,7
1590,mgmsales,2,14,45,1682433956,3520
1567,mgmsdr,2,14,46,1682433984,9
1586,mgmsdr,2,14,47,1682434057,1
1124,isnxsell,2,14,47,1682434076,1
1534,iseagles,2,14,49,1682434148,1
1128,isfoxes,2,14,49,1682434176,420
1604,mgmsales,2,14,49,1682434187,5
1117,isnxsell,2,14,49,1682434196,1316
1604,mgmsales,2,14,50,1682434223,18
1563,isnxsell,2,14,51,1682434266,1
1604,mgmsales,2,14,51,1682434300,120
1555,islions,2,14,52,1682434355,1
1519,iseagles,2,14,53,1682434386,233
1564,istigers,2,14,53,1682434398,57
1600,mgmsales,2,14,55,1682434515,9
1534,iseagles,2,14,57,1682434644,284
1128,isfoxes,2,14,58,1682434682,1
1586,mgmsdr,2,14,58,1682434711,1
1586,mgmsdr,2,14,59,1682434752,1
1586,mgmsdr,2,15,00,1682434851,32
1519,iseagles,2,15,01,1682434867,7
1519,iseagles,2,15,02,1682434927,3
1603,mgmsales,2,15,02,1682434969,46
1127,isessentials,2,15,04,1682435068,2
1597,mgmsales,2,15,04,1682435073,756
1519,iseagles,2,15,05,1682435110,49
1130,isessentials,2,15,06,1682435202,230
1603,mgmsales,2,15,06,1682435202,1
1632,isnxsell,2,15,07,1682435223,3
1604,mgmsales,2,15,08,1682435316,605
1569,isphoenix,2,15,08,1682435333,285
1535,isfoxes,2,15,08,1682435334,19
1584,isjaguars,2,15,09,1682435367,100
1535,isfoxes,2,15,11,1682435462,95
1523,isdragons,2,15,11,1682435481,37
1635,isnrecuperacao,2,15,11,1682435494,1622
1127,isessentials,2,15,13,1682435594,1
1586,mgmsdr,2,15,13,1682435619,4
1535,isfoxes,2,15,14,1682435654,41
1632,isnxsell,2,15,14,1682435661,47
1134,issharks,2,15,15,1682435711,38
1586,mgmsdr,2,15,17,1682435826,2
1123,ishorus,2,15,18,1682435882,486
1629,isnnadal,2,15,19,1682435957,17
1538,isfoxes,2,15,19,1682435965,51
1629,isnnadal,2,15,20,1682436007,53
1535,isfoxes,2,15,21,1682436064,179
1523,isdragons,2,15,21,1682436095,1
1586,mgmsdr,2,15,21,1682436103,49
1593,mgmsdr,2,15,21,1682436111,5
1574,isdragons,2,15,21,1682436114,23
1127,isessentials,2,15,22,1682436132,1
1593,mgmsdr,2,15,22,1682436141,14
1572,isnxsell,2,15,22,1682436155,137
1574,isdragons,2,15,22,1682436163,22
1586,mgmsdr,2,15,23,1682436214,46
1593,mgmsdr,2,15,24,1682436256,661
1134,issharks,2,15,25,1682436307,59
1627,isnrecuperacao,2,15,25,1682436317,11
1533,isjaguars,2,15,25,1682436359,11
1627,isnrecuperacao,2,15,26,1682436362,1
1533,isjaguars,2,15,26,1682436390,85
1134,issharks,2,15,27,1682436442,76
1627,isnrecuperacao,2,15,27,1682436459,705
1569,isphoenix,2,15,29,1682436577,1
1569,isphoenix,2,15,30,1682436615,319
1126,isdragons,2,15,30,1682436645,4
1124,isnxsell,2,15,31,1682436700,1
1522,isnxsell,2,15,31,1682436703,18
1573,isnrecuperacao,2,15,31,1682436712,3
1586,mgmsdr,2,15,32,1682436727,199
1533,isjaguars,2,15,32,1682436772,2
1573,isnrecuperacao,2,15,33,1682436788,1167
1504,isphoenix,2,15,34,1682436889,9
1538,isfoxes,2,15,35,1682436933,1
1584,isjaguars,2,15,36,1682436974,63
1533,isjaguars,2,15,36,1682436981,55
1130,isessentials,2,15,37,1682437059,6
1130,isessentials,2,15,38,1682437084,24
1533,isjaguars,2,15,38,1682437118,11
1569,isphoenix,2,15,38,1682437127,191
1593,mgmsdr,2,15,39,1682437165,349
1549,isphoenix,2,15,39,1682437196,146
1523,isdragons,2,15,40,1682437218,295
1586,mgmsdr,2,15,40,1682437222,1
1122,ishorus,2,15,41,1682437316,32
1119,isnxsell,2,15,44,1682437467,57
1127,isessentials,2,15,44,1682437469,4
1629,isnnadal,2,15,44,1682437492,15
1535,isfoxes,2,15,45,1682437507,90
1629,isnnadal,2,15,45,1682437535,19
1515,ishorus,2,15,45,1682437559,54
1127,isessentials,2,15,46,1682437591,1
1525,isjaguars,2,15,46,1682437596,142
1524,issharks,2,15,47,1682437627,71
1515,ishorus,2,15,47,1682437648,52
1119,isnxsell,2,15,48,1682437693,1
1533,isjaguars,2,15,48,1682437700,67
1604,mgmsales,2,15,50,1682437810,1
1533,isjaguars,2,15,50,1682437818,164
1635,isnrecuperacao,2,15,52,1682437926,17
